,Epoch,nData,att_time,pur_time,clf_time,std_acc,att_acc,pur_acc_l,pur_acc_s,pur_acc_o,pur_acc_list_l,pur_acc_list_s,pur_acc_list_o,count_att,count_diff
0,1,100,918.123234,91.451234,1.786461,98.0,6.0,38.0,38.0,37.0,[37. 38. 39. 38. 37. 38. 38. 38. 38. 38.],[37. 38. 39. 39. 38. 37. 37. 38. 38. 38.],[37. 35. 38. 38. 39. 38. 38. 37. 37. 37.],62,0
1,2,100,911.133895,91.42323,1.7826469999999999,94.0,3.0,33.0,31.0,32.0,[35. 33. 34. 36. 35. 34. 34. 33. 33. 33.],[35. 34. 32. 35. 34. 31. 33. 31. 31. 31.],[35. 34. 32. 35. 32. 31. 31. 31. 31. 32.],67,0
2,3,100,909.073166,91.416329,1.7778399999999999,92.0,3.0,30.0,30.0,29.0,[32. 29. 28. 29. 29. 29. 31. 30. 30. 30.],[32. 29. 30. 28. 28. 30. 31. 30. 29. 30.],[32. 32. 29. 30. 28. 30. 31. 30. 29. 29.],69,1
3,4,100,908.373307,91.428463,1.7787519999999999,95.0,7.0,29.0,30.0,30.0,[31. 28. 27. 28. 28. 29. 30. 28. 29. 29.],[31. 28. 28. 28. 28. 29. 30. 29. 30. 30.],[31. 28. 30. 28. 30. 29. 30. 30. 30. 30.],71,0
4,5,100,906.629237,91.329285,1.7679230000000001,95.0,2.0,36.0,36.0,37.0,[36. 32. 34. 36. 37. 37. 37. 37. 37. 36.],[36. 32. 37. 36. 37. 39. 37. 38. 37. 36.],[36. 37. 36. 38. 36. 37. 37. 37. 36. 37.],64,0
5,6,100,909.435725,92.772576,1.890897,99.0,5.0,44.0,45.0,41.0,[39. 43. 43. 44. 44. 43. 42. 44. 43. 44.],[39. 43. 42. 43. 42. 42. 42. 43. 42. 45.],[39. 39. 41. 41. 40. 40. 39. 41. 40. 41.],56,0
6,7,100,915.296116,91.563258,1.770193,97.0,5.0,36.0,36.0,36.0,[36. 34. 35. 35. 35. 34. 35. 36. 35. 36.],[36. 34. 35. 35. 35. 34. 36. 36. 35. 36.],[36. 36. 36. 35. 35. 35. 36. 36. 36. 36.],63,1
7,8,100,940.302812,97.707721,1.966475,92.0,2.0,32.0,31.0,30.0,[37. 35. 32. 33. 33. 33. 33. 32. 32. 32.],[37. 35. 33. 32. 32. 33. 32. 31. 31. 31.],[37. 30. 33. 32. 31. 32. 30. 32. 31. 30.],67,1
8,9,100,917.960242,92.270794,1.7910409999999999,93.0,4.0,30.0,31.0,31.0,[32. 31. 30. 30. 30. 30. 30. 30. 30. 30.],[32. 31. 31. 30. 30. 30. 31. 30. 30. 31.],[32. 32. 33. 33. 31. 31. 31. 31. 31. 31.],69,1
9,10,100,914.961064,91.783521,1.788562,98.0,4.0,41.0,40.0,38.0,[38. 39. 40. 41. 42. 42. 41. 40. 41. 41.],[38. 39. 40. 39. 41. 39. 40. 40. 40. 40.],[38. 36. 39. 41. 39. 39. 40. 39. 40. 38.],59,0
10,11,100,909.451151,91.458639,1.780651,96.0,3.0,30.0,30.0,33.0,[34. 31. 32. 33. 31. 32. 34. 32. 32. 30.],[34. 32. 33. 35. 30. 32. 34. 33. 32. 30.],[34. 37. 32. 35. 30. 36. 33. 35. 32. 33.],70,0
